94,103
1,82
8,105
4,33
13,108
4,120
88,197
44,67
5,96
43,54
92,39
91,117
67,122
80,125
72,92
59,116
79,102
76,37
93,65
23,5
36,42
55,79
35,47
93,39
60,51
4,162
26,163
32,109
76,156
4,101
75,194
75,176
97,102
58,6
90,124
14,80
75,154
39,27
9,189
32,19
90,40
22,195
74,178
86,19
34,135
57,77
55,8
7,165
66,196
92,170
58,119
5,98
2,13
41,9
95,49
38,17
81,63
17,173
29,152
65,97
56,151
54,158
60,132
58,147
51,36
10,37
76,97
96,15
53,0
57,166
97,14
59,138
69,190
54,70
2,167
79,156
36,32
45,20
47,162
94,186
39,120
98,158
69,131
82,131
65,137
31,163
20,58
9,74
17,153
78,198
9,10
21,139
31,80
31,40
95,198
7,80
40,81
72,10
57,16
95,114
63,161
60,97
47,36
21,142
8,23
76,16
8,26
43,23
68,124
21,90
86,74
11,125
11,103
33,88
83,183
78,171
46,133
82,65
55,91
2,129
90,191
67,104
63,99
78,180
88,147
42,145
4,56
98,44
27,121
40,186
10,73
64,112
73,80
59,31
38,108
58,72
45,17
41,69
41,131
84,192
6,161
24,171
22,101
38,102
29,19
93,91
7,101
28,194
95,195
67,4
52,74
39,99
13,50
75,75
86,164
43,64
77,71
0,28
65,159
72,146
31,3
54,150
44,116
39,199
40,155
19,162
62,104
36,188
65,66
87,34
75,126
66,164
74,109
50,61
94,116
48,177
61,35
99,21
77,195
13,133
31,0
58,106
56,50
5,140
15,66
55,17
19,69
71,157
55,16
79,146
63,38
32,63
92,152
35,5
78,30
91,162
41,63
27,162
86,90
26,127
71,72
47,9
65,110
73,110
93,51
82,27
35,142
11,159
25,105
77,160
39,17
37,187
61,46
38,133
74,117
12,1
83,156
16,45
95,65
46,54
57,36
8,183
90,113
17,32
57,132
30,52
75,150
52,48
12,52
25,165
23,189
69,150
25,159
0,71
65,118
73,175
1,58
33,3
77,134
34,158
19,29
59,158
11,104
48,99
41,36
87,108
1,31
92,16
13,1
91,189
66,156
94,51
38,45
53,41
47,18
32,14
18,3
25,154
85,114
57,168
97,124
72,85
7,197
33,74
88,169
70,175
65,102
57,106
52,58
32,182
51,146
65,182
53,46
13,84
99,13
85,164
20,60
46,167
88,192
27,61
26,93
50,198
11,79
93,49
24,129
0,112
12,121
23,38
83,35
20,43
50,133
65,72
10,154
95,162
26,138
1,168
44,161
60,8
88,21
67,26
