67,177
88,110
77,90
96,10
28,32
27,80
29,43
47,98
91,102
4,51
3,155
64,145
36,72
91,191
76,163
28,95
29,24
50,51
10,13
33,193
96,182
59,6
70,66
20,110
66,19
72,173
36,1
22,78
97,180
24,68
11,70
65,17
13,175
60,79
62,193
64,142
72,170
0,123
9,91
18,48
35,4
47,86
72,76
31,154
76,46
28,181
94,0
85,59
96,145
10,36
26,87
70,15
36,180
64,98
77,67
59,192
69,148
63,145
19,52
96,98
4,61
95,58
94,101
83,157
26,96
41,82
66,163
91,100
48,56
90,135
82,163
47,152
82,153
19,5
27,53
98,195
19,108
61,46
55,122
53,159
46,130
62,93
14,139
97,166
46,104
18,60
45,92
4,178
13,188
22,91
48,3
13,75
79,144
2,111
37,66
35,43
80,185
33,60
42,8
27,157
